map,rank_tier,rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,acs,first_blood_pct,num_matches
Split,4,Iron 2,Yoru,0.94,15.5,16.5,3.8,66.7,5.0,199,10.8,306
Split,4,Iron 2,Cypher,0.96,15.0,15.7,6.7,33.3,5.0,206,11.1,306
Split,4,Iron 2,Phoenix,1.08,13.6,12.6,3.6,60.0,4.2,205,8.8,255
Split,4,Iron 2,Sova,0.63,9.8,15.5,4.5,25.0,3.3,147,17.9,204
Split,4,Iron 2,Skye,0.84,14.3,17.0,6.0,33.3,2.5,180,4.7,153
Split,4,Iron 2,Brimstone,0.78,16.0,20.5,10.5,50.0,1.7,201,12.5,102
Split,4,Iron 2,Breach,0.66,10.5,16.0,5.0,0.0,1.7,171,14.3,102
Split,5,Iron 3,Sage,0.85,12.0,14.0,4.0,51.5,15.2,177,11.8,3366
Split,5,Iron 3,Reyna,0.93,14.1,15.2,4.8,50.8,13.6,217,16.8,3009
Split,5,Iron 3,Jett,1.04,15.4,14.8,4.4,49.1,12.7,233,17.7,2805
Split,5,Iron 3,Raze,1.0,16.0,16.0,5.6,53.8,9.0,230,14.3,1989
Split,5,Iron 3,Killjoy,0.92,12.5,13.6,4.6,50.0,8.3,189,8.9,1836
Split,5,Iron 3,Sova,0.82,12.2,14.9,5.1,48.3,6.7,188,14.1,1479
Split,5,Iron 3,Omen,1.05,13.5,12.8,4.3,62.5,5.5,198,9.6,1224
Split,5,Iron 3,Brimstone,0.89,13.9,15.7,5.6,34.8,5.3,204,14.7,1173
Split,5,Iron 3,Viper,0.87,12.7,14.6,6.1,59.1,5.1,170,7.9,1122
Split,5,Iron 3,Phoenix,0.91,12.7,13.9,4.1,52.4,4.8,203,10.5,1071
Split,5,Iron 3,Skye,0.8,12.7,15.8,4.4,30.0,4.6,177,11.0,1020
Split,5,Iron 3,Cypher,1.01,14.8,14.6,4.6,40.0,3.5,211,11.3,765
Split,5,Iron 3,Yoru,0.65,11.4,17.7,3.5,16.7,2.8,165,10.9,612
Split,5,Iron 3,Breach,0.81,13.3,16.4,5.1,37.5,1.8,187,14.2,408
Split,5,Iron 3,Astra,1.28,15.0,11.8,4.8,75.0,0.9,211,11.7,204
Split,6,Bronze 1,Sage,0.91,13.1,14.4,4.5,48.5,20.8,187,10.2,3366
Split,6,Bronze 1,Reyna,1.03,14.9,14.5,4.6,47.6,13.2,231,18.5,2142
Split,6,Bronze 1,Jett,1.0,14.7,14.8,3.9,46.9,10.1,222,17.4,1632
Split,6,Bronze 1,Sova,1.0,14.2,14.3,5.4,56.5,7.2,218,11.3,1173
Split,6,Bronze 1,Omen,0.91,13.1,14.4,4.0,50.0,6.9,185,13.5,1122
Split,6,Bronze 1,Raze,1.01,14.8,14.7,5.4,59.1,6.9,216,13.8,1122
Split,6,Bronze 1,Killjoy,1.01,12.8,12.6,3.3,50.0,5.7,186,9.6,918
Split,6,Bronze 1,Cypher,0.76,11.5,15.2,3.8,27.8,5.7,162,7.2,918
Split,6,Bronze 1,Brimstone,0.83,12.4,14.8,6.7,29.4,5.3,192,11.0,867
Split,6,Bronze 1,Phoenix,1.2,18.1,15.1,4.2,41.2,5.3,262,15.9,867
Split,6,Bronze 1,Skye,1.16,15.8,13.6,4.3,69.2,4.1,219,17.0,663
Split,6,Bronze 1,Viper,0.9,12.6,13.9,4.7,66.7,3.8,187,11.3,612
Split,6,Bronze 1,Yoru,0.9,13.6,15.0,5.0,57.1,2.2,209,17.9,357
Split,6,Bronze 1,Breach,0.76,12.0,15.9,4.7,42.9,2.2,183,11.9,357
Split,6,Bronze 1,Astra,0.77,12.0,15.5,4.0,50.0,0.6,145,8.3,102
Split,7,Bronze 2,Sage,0.91,12.3,13.5,4.2,52.5,16.9,183,10.6,6120
Split,7,Bronze 2,Reyna,1.07,16.7,15.7,4.2,46.6,14.5,238,16.2,5253
Split,7,Bronze 2,Jett,1.01,15.1,15.0,4.2,53.4,12.4,227,18.5,4488
Split,7,Bronze 2,Killjoy,0.94,13.7,14.5,4.5,50.8,8.6,203,9.2,3111
Split,7,Bronze 2,Raze,0.98,16.3,16.6,5.5,40.4,8.1,235,12.9,2907
Split,7,Bronze 2,Sova,0.9,12.3,13.6,5.8,42.3,7.3,191,11.1,2652
Split,7,Bronze 2,Omen,1.04,15.4,14.8,5.0,52.1,6.8,222,11.1,2448
Split,7,Bronze 2,Cypher,0.96,14.0,14.5,5.1,43.9,5.8,199,9.6,2091
Split,7,Bronze 2,Brimstone,1.0,14.5,14.5,6.6,64.5,4.4,207,11.1,1581
Split,7,Bronze 2,Phoenix,1.14,16.2,14.3,4.0,56.7,4.2,244,16.9,1530
