map,rank_tier,rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,acs,first_blood_pct,num_matches
Split,16,Platinum 2,Yoru,0.47,8.0,17.0,4.0,0.0,0.9,139,25.0,51
Split,18,Diamond 1,Sage,0.92,14.4,15.6,5.3,38.7,18.0,199,11.0,1581
Split,18,Diamond 1,Jett,1.22,17.5,14.3,4.0,65.4,15.1,251,21.8,1326
Split,18,Diamond 1,Omen,1.12,16.7,14.8,6.6,63.2,11.0,219,10.1,969
Split,18,Diamond 1,Raze,1.12,17.6,15.8,5.8,66.7,10.5,260,15.8,918
Split,18,Diamond 1,Reyna,1.18,18.5,15.8,4.2,70.6,9.9,250,16.8,867
Split,18,Diamond 1,Cypher,0.87,13.1,15.1,3.8,50.0,9.3,180,9.0,816
Split,18,Diamond 1,Skye,0.92,13.2,14.3,4.9,55.6,5.2,184,10.1,459
Split,18,Diamond 1,Brimstone,0.82,11.1,13.5,7.6,37.5,4.7,179,7.9,408
Split,18,Diamond 1,Killjoy,1.26,19.3,15.3,4.3,42.9,4.1,255,9.6,357
Split,18,Diamond 1,Astra,1.2,16.9,14.0,6.6,71.4,4.1,216,5.1,357
Split,18,Diamond 1,Viper,1.33,16.3,12.3,3.8,100.0,2.3,200,12.3,204
Split,18,Diamond 1,Phoenix,0.67,11.5,17.3,5.0,25.0,2.3,198,26.1,204
Split,18,Diamond 1,Breach,1.08,18.7,17.3,5.0,33.3,1.7,226,5.4,153
Split,18,Diamond 1,Yoru,0.89,12.5,14.0,4.0,100.0,1.2,159,24.0,102
Split,18,Diamond 1,Sova,0.42,8.0,19.0,5.0,0.0,0.6,144,0.0,51
Split,19,Diamond 2,Reyna,1.07,15.6,14.6,3.1,50.0,20.8,233,15.6,816
Split,19,Diamond 2,Sage,1.0,13.7,13.7,4.8,45.5,14.3,195,13.2,561
Split,19,Diamond 2,Raze,1.01,16.3,16.2,5.8,60.0,13.0,235,14.1,510
Split,19,Diamond 2,Jett,1.13,17.9,15.8,3.7,44.4,11.7,243,19.9,459
Split,19,Diamond 2,Cypher,0.86,12.6,14.6,4.4,37.5,10.4,191,18.8,408
Split,19,Diamond 2,Killjoy,0.97,14.3,14.8,3.9,75.0,10.4,194,14.0,408
Split,19,Diamond 2,Breach,0.98,16.8,17.2,5.0,20.0,6.5,211,19.0,255
Split,19,Diamond 2,Omen,0.59,10.7,18.0,7.3,0.0,3.9,148,18.8,153
Split,19,Diamond 2,Viper,0.41,6.0,14.5,2.5,0.0,2.6,123,16.7,102
Split,19,Diamond 2,Astra,1.81,14.5,8.0,5.0,100.0,2.6,208,13.8,102
Split,19,Diamond 2,Brimstone,0.88,15.0,17.0,7.0,0.0,1.3,197,13.3,51
Split,19,Diamond 2,Sova,1.0,14.0,14.0,5.0,0.0,1.3,242,0.0,51
Split,19,Diamond 2,Skye,0.58,11.0,19.0,4.0,0.0,1.3,132,18.2,51
Split,20,Diamond 3,Omen,0.79,11.5,14.5,4.5,0.0,13.3,171,8.7,102
Split,20,Diamond 3,Sage,1.07,15.5,14.5,9.0,100.0,13.3,216,9.7,102
Split,20,Diamond 3,Raze,0.82,14.0,17.0,3.5,50.0,13.3,213,10.7,102
Split,20,Diamond 3,Jett,1.24,21.0,17.0,3.5,100.0,13.3,255,21.4,102
Split,20,Diamond 3,Cypher,0.97,15.0,15.5,5.0,50.0,13.3,225,13.3,102
Split,20,Diamond 3,Skye,1.25,15.0,12.0,3.0,100.0,6.7,218,6.7,51
Split,20,Diamond 3,Killjoy,2.0,16.0,8.0,2.0,100.0,6.7,222,6.3,51
Split,20,Diamond 3,Astra,0.81,13.0,16.0,5.0,0.0,6.7,188,0.0,51
Split,20,Diamond 3,Reyna,0.8,12.0,15.0,4.0,0.0,6.7,264,33.3,51
Split,20,Diamond 3,Viper,2.13,17.0,8.0,2.0,100.0,6.7,241,5.9,51
