job_title,industry,experience,city,state,salary
Accounting Specialist IV,Finance,21 - 30 years,Washington,DC,64000.0
Data Scientist,Government,11 - 20 years,Washington,DC,138000.0
Senior Scientist,Environmental Consulting,11 - 20 years,Pittsburgh,PA,103000.0
"Manager, Demand Generation & Marketing Automation",Marketing,2 - 4 years,Chicago,IL,70000.0
Coder,Health Information Management,2 - 4 years,Pittsburgh,PA,36000.0
Senior Manager,Nonprofit,8 - 10 years,Seattle,WA,135000.0
Digital Marketing Manager,Software,11 - 20 years,Houston,TX,93000.0
Staff Accountant,Utilities,5 - 7 years,Houston,TX,63000.0
Executive Assistant,Nonprofit focused on art,5 - 7 years,Los Angeles,CA,23400.0
Production Coordinator,Event Production,2 - 4 years,New York,NY,58500.0
Senior Software Engineer,IT,8 - 10 years,Baltimore,MD,127600.0
Senior Associate Training & Development,Biotech,11 - 20 years,Los Angeles,CA,80000.0
Implementation Manager,Software,5 - 7 years,Boston,MA,75000.0
Inside Sales,Construction Manufacturing,11 - 20 years,Portland,OR,31000.0
Director,Defense,11 - 20 years,Los Angeles,CA,190000.0
Senior Data Scientist,Nonprofit,11 - 20 years,Washington,DC,145000.0
Software Engineer,Financial Services,11 - 20 years,Chicago,IL,250000.0
Payroll Specialist,Property Management,21 - 30 years,Portland,OR,51000.0
Consulting Manager,Financial Services,2 - 4 years,Boston,MA,89000.0
Senior Project Coordinator,Educational Asessment,11 - 20 years,Washington,DC,58855.0
Video Editor,Creative/Marketing,5 - 7 years,Dallas,TX,50000.0
Office Manager,Nonprofit (legal aid),5 - 7 years,San Francisco,CA,65000.0
Project Coordinator/recruiter,Staffing,2 - 4 years,Atlanta,GA,30000.0
Product Manager,Distribution services,2 - 4 years,Minneapolis,MN,68000.0
Research Associate,Academia,11 - 20 years,Boston,MA,90000.0
Director of Human Resources,Government Contracting,21 - 30 years,Washington,DC,165000.0
Program Manager,Federal contracts/professional services/for profit (education),11 - 20 years,Boston,MA,106000.0
Program Coordinator,Healthcare,5 - 7 years,Philadelphia,PA,53000.0
Partner,Law,11 - 20 years,Atlanta,GA,330000.0
Consultant,Real Estate Development,2 - 4 years,Atlanta,GA,70000.0
Senior Accountant,Telecommunications,5 - 7 years,Chicago,IL,90000.0
Administrative Attorney,Public sector,8 - 10 years,Boston,MA,94000.0
Grants and Contracts Coordinator,Legal (Non-profit),5 - 7 years,New York,NY,60608.0
Actuary,Insurance,8 - 10 years,Portland,OR,125000.0
Senior pre-media specialist,Publishing,8 - 10 years,Boston,MA,57000.0
Senior Academic Associate,Higher Education,21 - 30 years,Minneapolis,MN,67250.0
Assistant General Counsel/Compliance Officer,Legal Compliance,8 - 10 years,New York,NY,180000.0
Librarian,Education,5 - 7 years,Austin,TX,69000.0
Mail Clerk,Non-Profit Art Museum,8 - 10 years,New York,NY,28392.0
Writer/Editor,International Development,8 - 10 years,Washington,DC,71000.0
IT Director,Manufacturing,21 - 30 years,St. Louis,MO,95000.0
Library Circulation Manager,Academia,5 - 7 years,Austin,TX,39000.0
Director of government affairs,Renewable Energy,11 - 20 years,San Francisco,CA,180000.0
Software Engineer,Transportation & Logistics,2 - 4 years,Seattle,WA,90000.0
Program Coordinator,arts administration/higher ed,11 - 20 years,Philadelphia,PA,53000.0
Associate Editor,Publishing,5 - 7 years,Minneapolis,MN,31000.0
"Program Coordinator, Accreditation & Regulatory Compliance",Healthcare (Hospital),21 - 30 years,New York,NY,75000.0
Associate Director,"Higher Ed, Marketing & Communications",11 - 20 years,Philadelphia,PA,59000.0
Project Manager,Entertainment/games,8 - 10 years,Seattle,WA,90000.0
Media Planner + Buyer,Media,5 - 7 years,New York,NY,72500.0
Director,Architecture,11 - 20 years,Chicago,IL,116000.0
Budget and Policy Analyst,Government,8 - 10 years,Seattle,WA,132000.0
Digital Conversion Specialist,Libraries,8 - 10 years,Washington,DC,86000.0
Project Manager,Linguistics,11 - 20 years,Atlanta,GA,76000.0
Principal Mechanical Systems Engineer,Aerospace,11 - 20 years,Washington,DC,126000.0
SEO Manager,Media,8 - 10 years,New York,NY,65000.0
Librarian,Librarianship,11 - 20 years,New York,NY,65000.0
Analyst,Consulting,5 - 7 years,Seattle,WA,50000.0
Senior Manager,Public Relations,8 - 10 years,New York,NY,110000.0
Fundraiser,Nonprofit,11 - 20 years,Washington,DC,115000.0
Software Engineer,Archiving/Tech,5 - 7 years,San Francisco,CA,95000.0
Executive Assistant,Nonprofit,5 - 7 years,New York,NY,51500.0
Director of Customer Success,Technology,11 - 20 years,Chicago,IL,115000.0
Program Specialist,Federal Government,2 - 4 years,Washington,DC,56233.0
Associate Attorney,Law,2 - 4 years,Washington,DC,150000.0
Patent Examiner,Intellectual Property,31 - 40 years,Washington,DC,164000.0
Associate Research Advisor,Technology,1 year or less,Chicago,IL,50000.0
Client Manager,Insurance,11 - 20 years,San Diego,CA,60900.0
Customer Success Manager,Tech,8 - 10 years,Phoenix,AZ,43000.0
Survey Statistician,Survey research,2 - 4 years,Washington,DC,84000.0
Associate General Counsel,Law,21 - 30 years,Atlanta,GA,75000.0
Senior SRE,Tech,5 - 7 years,Seattle,WA,168000.0
Customer Service Representative,Leave of Absence Management,21 - 30 years,Minneapolis,MN,35685.0
Executive Assistant,Finance,5 - 7 years,New York,NY,80000.0
Senior Specialist,Biopharmaceuticals,8 - 10 years,Seattle,WA,104000.0
HR Manager,Healthcare,5 - 7 years,Chicago,IL,80000.0
Librarian,Education,21 - 30 years,Denver,CO,42000.0
Senior Counsel,Non-profit law,8 - 10 years,New York,NY,132000.0
"Director, Analyst",Information services,11 - 20 years,Chicago,IL,113950.0
Data Scientist,Legal non profit,8 - 10 years,New York,NY,102000.0
Senior Manager,Development,5 - 7 years,New York,NY,70000.0
Director of Solution Delivery,Website Development Consultancy,11 - 20 years,Chicago,IL,118000.0
Registered Dietitian,Healthcare,2 - 4 years,Chicago,IL,60000.0
Graduate Research Assistant,Public Health/Academia,8 - 10 years,Chicago,IL,23762.0
Booking agent,Performing Arts,8 - 10 years,New York,NY,65000.0
Office Administrator,Architecture,5 - 7 years,Portland,OR,46000.0
Senior Marketing Manager,Publishing,8 - 10 years,New York,NY,75000.0
Paralegal,Legal,11 - 20 years,Chicago,IL,60000.0
Data Scientist,Technology,5 - 7 years,New York,NY,165000.0
Associate Director of Publicity,Publishing,11 - 20 years,New York,NY,90000.0
Chief Assistant Public Defender,Legal,31 - 40 years,Atlanta,GA,99000.0
Functional Analyst,IT Consulting,2 - 4 years,Washington,DC,88000.0
Programs Support Supervisor,Education Non-profit,11 - 20 years,Seattle,WA,55000.0
Facilities Project Planning Coordinator,Sports,5 - 7 years,New York,NY,70000.0
Associate Financial Planner,Retail,11 - 20 years,New York,NY,78500.0
Camp Director,Non-profit youth development,5 - 7 years,New York,NY,65000.0
"Senior Manager, Digital Production",Publishing,11 - 20 years,New York,NY,71014.0
Staff Accountant,Legal Services,2 - 4 years,Portland,OR,66000.0
Director of Customer Service,B2B Sales,11 - 20 years,Dallas,TX,102888.0
Annual Fund Manager,Cultural Nonprofit (like museums),5 - 7 years,Denver,CO,64000.0
Program Administrator,Nonprofit/Government,11 - 20 years,Washington,DC,74000.0
HR Manager,Hospitality,11 - 20 years,Houston,TX,84460.0
Deputy Court Clerk,Government,8 - 10 years,San Francisco,CA,54000.0
Youth Services Librarian,Public Libraries,11 - 20 years,Philadelphia,PA,32000.0
Curator,Zoos,31 - 40 years,St. Louis,MO,75000.0
Infection Preventionist,Healthcare,5 - 7 years,Philadelphia,PA,78000.0
Planned Giving Assistant,Sort-of-Government-Run Performing Arts Nonprofit,5 - 7 years,Washington,DC,36000.0
Sales Manager,Fin tech,5 - 7 years,New York,NY,90000.0
Operations/Production Manager,Advertising/sales-LGBTQ focused,11 - 20 years,Atlanta,GA,50000.0
Assessment Coordinator/Analyst,Higher Education,5 - 7 years,Houston,TX,48277.0
IT Support Technician,Advertising,2 - 4 years,Boston,MA,46500.0
Project Coordinator,Marketing/Fundraising,11 - 20 years,New York,NY,45000.0
Associate,Nonprofit,2 - 4 years,Washington,DC,49500.0
Senior Assistant,Healthcare non-profit,8 - 10 years,Boston,MA,50022.0
Director of Internal Controls,Insurance,11 - 20 years,New York,NY,128000.0
Data Analyst,Software as a Service(SaaS),5 - 7 years,Dallas,TX,53000.0
Associate,Healthcare,1 year or less,Washington,DC,57000.0
Copywriter,Advertising,2 - 4 years,New York,NY,65000.0
copy chief or chief copy editor,Publishing,31 - 40 years,New York,NY,110000.0
Assistant Director,Nonprofit,5 - 7 years,New York,NY,68000.0
Special Education Teacher,Education,5 - 7 years,Boston,MA,56000.0
Research Associate,Research/Public Policy,2 - 4 years,Washington,DC,51500.0
Media Relations Associate,Public Relations,2 - 4 years,Washington,DC,51860.0
Paralegal,Legal,5 - 7 years,Boston,MA,68000.0
Associate Survey Manager,Compensation,5 - 7 years,Minneapolis,MN,64000.0
Senior Database Administrator,IT,21 - 30 years,St. Louis,MO,98500.0
Preservation Planner,Environmental Planning,8 - 10 years,Boston,MA,71000.0
"Senior Director, Admin",Nonprofit,11 - 20 years,Washington,DC,80000.0
Junior project scheduler,Government Contractor,8 - 10 years,Washington,DC,80000.0
Program Coordinator,Healthcare,2 - 4 years,Chicago,IL,40000.0
Human Resources Director,Healthcare,31 - 40 years,Seattle,WA,160000.0
Portfolio Analyst,Financial Services,5 - 7 years,New York,NY,225000.0
Proposal Manager,IT/Software,11 - 20 years,Denver,CO,86000.0
Business Analyst,Transportation policy,1 year or less,New York,NY,65500.0
Secretary,Law,11 - 20 years,Austin,TX,64000.0
Manager of temporary art exhibitions,Arts and Culture,11 - 20 years,San Francisco,CA,96000.0
Enrichment and behavior specialist,Biological/biomedical research,8 - 10 years,San Francisco,CA,64000.0
Principal Engineer,Aerospace,11 - 20 years,Phoenix,AZ,110000.0
Senior Consultant,Manufacturing,11 - 20 years,Atlanta,GA,185000.0
Consultant,Consulting,8 - 10 years,Minneapolis,MN,103000.0
Principal Program Manager,Technology,11 - 20 years,Boston,MA,147000.0
Donor Specialist,Nonprofit,5 - 7 years,Seattle,WA,43000.0
Policy Associate,Environment,2 - 4 years,Denver,CO,58000.0
Customer Experience Lead,Tech,11 - 20 years,Portland,OR,100000.0
Director of Human Resources,HR - Higher Ed,31 - 40 years,Boston,MA,102000.0
