job_title,industry,experience,city,state,salary
Director of Marketing,Market Research,8 - 10 years,Denver,CO,100000.0
VP of Finance,Chemical Manufacturing,11 - 20 years,Baltimore,MD,180000.0
Director,Nonprofit advocacy,21 - 30 years,Washington,DC,143000.0
Program Manager,Healthcare non-profit,5 - 7 years,Boston,MA,60000.0
Digital Campaign Manager,Non-Profit Civil Rights,5 - 7 years,Washington,DC,92900.0
Deputy Production Director,Publishing,5 - 7 years,Dallas,TX,45712.0
Associate Merchant,Retail,5 - 7 years,Chicago,IL,86000.0
Senior Finance Manager,Hospitality,8 - 10 years,Washington,DC,130000.0
Attorney,Legal,5 - 7 years,New York,NY,240000.0
Contract attorney,Legal,11 - 20 years,Boston,MA,40000.0
Producer,Advertising,11 - 20 years,New York,NY,100000.0
Program Coordinator,Education,5 - 7 years,Boston,MA,38000.0
Senior Research Associate,Biotech,11 - 20 years,Seattle,WA,80000.0
Copy Editor,Energy,8 - 10 years,New York,NY,68000.0
Senior Instructional Designer,Technology Services,21 - 30 years,Atlanta,GA,92000.0
Development Officer,Conservation NGO,8 - 10 years,Washington,DC,67000.0
Metadata Librarian,Education,11 - 20 years,Portland,ME,51859.0
Metadata Librarian,Libraries,11 - 20 years,Dallas,TX,58685.0
Counsel,Law,8 - 10 years,Washington,DC,121098.0
Engineer,Engineering,2 - 4 years,Denver,CO,71000.0
Program Director,Feminist Nonprofit,2 - 4 years,Washington,DC,71000.0
Staff writer,Journalism,2 - 4 years,New York,NY,44000.0
Speech Scientist,Tech/Telecom,5 - 7 years,New York,NY,95000.0
Project Coordinator,Health Insurance,11 - 20 years,Boston,MA,70000.0
Collateral Analyst,Mortgage,8 - 10 years,Dallas,TX,50000.0
Administrative Aide,Higher Education,2 - 4 years,New York,NY,50000.0
Managing Counsel,Legal,11 - 20 years,Pittsburgh,PA,210000.0
Consumer Insights Director,Media,11 - 20 years,New York,NY,133000.0
Director of Statistics and Evaluation,"Nonprofit, related to higher education",41 years or more,Washington,DC,93000.0
Communications Officer and Program Officer,Nonprofit/Philanthropy,2 - 4 years,New York,NY,95000.0
Publications Assistant,Non profit medical association,5 - 7 years,Washington,DC,49000.0
Compliance Officer,Banking,11 - 20 years,Portland,OR,65000.0
Analytics Manager,Human Resources,11 - 20 years,Boston,MA,105000.0
HR project analyst,Financial Services,2 - 4 years,Chicago,IL,82500.0
Customer Relationship Coordinator,Food & Beverage,8 - 10 years,New York,NY,52000.0
Senior Accounting Director,Real Estate,11 - 20 years,Chicago,IL,117000.0
QA Analyst,Tech,2 - 4 years,Philadelphia,PA,55000.0
Development Coordinator,Nonprofit,2 - 4 years,New York,NY,41000.0
Senior Business Analyst,Technology Consulting,2 - 4 years,New York,NY,70000.0
Senior Software Engineer,Software,11 - 20 years,New York,NY,206000.0
Funding Coordinator,Finance,2 - 4 years,Minneapolis,MN,53000.0
Structural Engineer,Engineering,2 - 4 years,Atlanta,GA,57000.0
Associate,Law,5 - 7 years,Boston,MA,250000.0
Associate,Law,2 - 4 years,New York,NY,200000.0
Program Evaluation Manager,Nonprofit,5 - 7 years,Philadelphia,PA,55000.0
Senior Editor,Publishing,11 - 20 years,New York,NY,59000.0
Program Coordinator,Nonprofit,2 - 4 years,New York,NY,45000.0
"Coordinator, Academic & Student Affairs",Higher Education Administration,2 - 4 years,Boston,MA,49000.0
Writing Center Coordinator,Higher Education,8 - 10 years,Chicago,IL,48000.0
Librarian,Higher Education,5 - 7 years,Austin,TX,53049.0
Editor,Educational Publishing (textbooks),8 - 10 years,Boston,MA,69400.0
Project Engineer,AEC,5 - 7 years,Philadelphia,PA,82500.0
Strategic Communications Specialist,Public Relations,2 - 4 years,Washington,DC,65000.0
Account Coordinator,Public Relations,2 - 4 years,Chicago,IL,40000.0
Attorney,Law,2 - 4 years,Chicago,IL,82000.0
Paralegal,Legal,8 - 10 years,Austin,TX,60000.0
Senior Manager,Market Research,5 - 7 years,Washington,DC,92500.0
Associate Director,Biotech/Pharma,11 - 20 years,Boston,MA,152440.0
Reporter/Journalist,Journalism,5 - 7 years,New York,NY,110000.0
Training,Tech,2 - 4 years,Chicago,IL,49000.0
Wedding Planner,Events/Hospitality,5 - 7 years,Washington,DC,30000.0
Biologist,Federal Government  - land management agency,11 - 20 years,Minneapolis,MN,71167.0
Due diligence investigator,Finance,1 year or less,Boston,MA,52500.0
Enrollment  Specialist,Test prep tutoring,5 - 7 years,Atlanta,GA,85000.0
Principal,Consulting - Financial Services,11 - 20 years,Boston,MA,500000.0
Software Engineer,Finance,1 year or less,Pittsburgh,PA,71000.0
Counsel,non-profit/legal advocacy,1 year or less,Washington,DC,90000.0
Senior Consultant,Consulting,8 - 10 years,Washington,DC,87858.0
Senior Editor,startup marketing - content,8 - 10 years,New York,NY,77000.0
Research Analyst,Government Research / Policy Analysis,5 - 7 years,Washington,DC,65000.0
Collections Technician,Museums,2 - 4 years,Washington,DC,45000.0
Marketing Manager,Software/Technology,5 - 7 years,Atlanta,GA,60000.0
Project Coordinator,Publishing,5 - 7 years,Baltimore,MD,33000.0
Chief HR Officer,Financial Services,21 - 30 years,Washington,DC,200000.0
Assistant,Entertainment,5 - 7 years,Los Angeles,CA,45000.0
Attorney,Law,5 - 7 years,Washington,DC,69500.0
Major Gifts Assistant,Nonprofit fundraising,2 - 4 years,Seattle,WA,36000.0
Executive Legal Assistant,Legal,11 - 20 years,Washington,DC,75001.0
Project Coordinator,Flooring/Ceramic Tile,31 - 40 years,Minneapolis,MN,56000.0
Payroll accountant,Film,21 - 30 years,Los Angeles,CA,135000.0
Global Mobility Specialist,Global Mobility (HR-adjacent),5 - 7 years,Boston,MA,58000.0
Executive Assistant to the President,Education,31 - 40 years,Portland,OR,88000.0
"Manager, Online Database Marketing",Non-profit Marketing,8 - 10 years,Washington,DC,89000.0
Media Relations Manager,Entertainment,5 - 7 years,Los Angeles,CA,50000.0
Counsel,Law,5 - 7 years,Minneapolis,MN,122000.0
Assistant Director (Academic Affairs),Higher Education,5 - 7 years,Chicago,IL,63500.0
Assistant Director,Higher Education,11 - 20 years,Chicago,IL,73000.0
Ecologist,Environmental Consulting,8 - 10 years,Chicago,IL,60000.0
Software Engineer,Software,1 year or less,San Francisco,CA,110000.0
Legislative Assistant,Law/Lobbying,5 - 7 years,Washington,DC,65000.0
Associate,Public Relations,2 - 4 years,New York,NY,75000.0
IT Analyst,Healthcare,11 - 20 years,Dallas,TX,108000.0
Designer,Fashion,21 - 30 years,New York,NY,86000.0
Assoc. Director of Advancement,Advancement/Development/Fundraising,2 - 4 years,Seattle,WA,70320.0
Administrative Assistant,Academia,2 - 4 years,Pittsburgh,PA,30500.0
Development Officer,Nonprofit advocacy,11 - 20 years,Philadelphia,PA,75000.0
Attorney advisor,Government (Legal),2 - 4 years,Washington,DC,99172.0
Senior Vice President,Communications- Marketing,8 - 10 years,New York,NY,160000.0
Technical Project Manager,Digital Marketing,8 - 10 years,Boston,MA,72000.0
Bookkeeper,Nonprofit,8 - 10 years,Denver,CO,42500.0
Associate Director of Institutional Giving,Arts Non Profit,5 - 7 years,New York,NY,80000.0
Analyst,Digital Publishing,5 - 7 years,New York,NY,75000.0
Business Development Coordinator,Legal Marketing,2 - 4 years,Chicago,IL,62000.0
Account Executive,Marketing,2 - 4 years,Atlanta,GA,41000.0
Deputy Editor,Media,8 - 10 years,Washington,DC,91800.0
Senior Process Improvement Consultant,Healthcare,5 - 7 years,Atlanta,GA,117000.0
Investment Associate,Finance,2 - 4 years,Boston,MA,73000.0
Reporter,Media/Newspapers,21 - 30 years,New York,NY,70000.0
Deputy Communications Director,Federal Government,8 - 10 years,Washington,DC,79000.0
Producer,Education,5 - 7 years,Boston,MA,63000.0
Financial Analysis Manager,Healthcare Consulting,8 - 10 years,St. Louis,MO,100000.0
Manager of Sales Operations,Tech,8 - 10 years,San Francisco,CA,88000.0
Technician,Museums-Federal,11 - 20 years,Washington,DC,53000.0
Senior Events Planner,Business Support Services,5 - 7 years,New York,NY,94000.0
Software Training Specialist,Software,8 - 10 years,Boston,MA,72757.0
Senior Program Manager,Museum Education,8 - 10 years,New York,NY,60000.0
Instructor and Coordinator of the Tutoring Center,Higher Education,11 - 20 years,New York,NY,60500.0
Research Scientist,Biomedical Research,5 - 7 years,Seattle,WA,108150.0
Marketing Assistant,"Architecture, Engineering, Construction",2 - 4 years,Portland,OR,46000.0
Assistant Director of Institutional Giving,Arts and Culture,5 - 7 years,New York,NY,110000.0
Assistant Editor,Publishing,5 - 7 years,New York,NY,44500.0
Freelancer,Music,5 - 7 years,Houston,TX,56000.0
Communications Manager,Nonprofit,11 - 20 years,Boston,MA,80000.0
Clinical Research Associate,Academia,11 - 20 years,Chicago,IL,80800.0
Practice Manager,Healthcare,5 - 7 years,Boston,MA,71400.0
Lead Analyst,Data Analysis,5 - 7 years,Philadelphia,PA,87000.0
DevOps Project Manager,Technology,5 - 7 years,Washington,DC,120000.0
Copywriter,Advertising,2 - 4 years,St. Louis,MO,55000.0
Director of programs and communications,Nonprofit,5 - 7 years,Washington,DC,66000.0
Temporary Executive Assistant,Education,11 - 20 years,Portland,OR,32000.0
Senior Research Coordinator,Academia,11 - 20 years,Philadelphia,PA,53000.0
IT Director,Healthcare,11 - 20 years,Philadelphia,PA,140000.0
HR Specialist,Healthcare,5 - 7 years,Minneapolis,MN,57000.0
Customer Operations,Technology,2 - 4 years,Portland,OR,43000.0
Technical Community Manager,Technology,11 - 20 years,New York,NY,155000.0
Digital Communications Associate,Nonprofit,2 - 4 years,New York,NY,47000.0
Director of Quality,Healthcare,21 - 30 years,Seattle,WA,152000.0
Software Engineer,Software,5 - 7 years,Seattle,WA,127995.0
Editorial Manager,Communications,21 - 30 years,Washington,DC,80000.0
Senior Accountant,Nonprofit,11 - 20 years,Washington,DC,73000.0
Product Ower,Software,5 - 7 years,Austin,TX,76100.0
ghostwriter (freelancer),creative -- freelancing,5 - 7 years,Baltimore,MD,25000.0
"Vice President, Human Resources",Entertainment (television production),21 - 30 years,Los Angeles,CA,166400.0
Assistant Production Editor,Book publishing,2 - 4 years,New York,NY,34900.0
HR Compliance Specialist,Professional Services - Legal,11 - 20 years,Chicago,IL,92000.0
Business Analyst,Health Insurance,21 - 30 years,St. Louis,MO,61000.0
Executive Assistant,Private Equity,11 - 20 years,New York,NY,95000.0
Transportation Planner,City Government,2 - 4 years,San Francisco,CA,86000.0
UX/UI Designer,Tech,5 - 7 years,San Francisco,CA,120000.0
UX Writer,Technology,2 - 4 years,Seattle,WA,116300.0
Manager of Tutoring,Education - Staff,5 - 7 years,Houston,TX,52000.0
Associate,Law,2 - 4 years,New York,NY,250000.0
Writer and Editor,Journalism,2 - 4 years,San Francisco,CA,15000.0
Operations Manager,Education,8 - 10 years,Seattle,WA,55000.0
Director of Strategic Research - Multi-platform,Media,8 - 10 years,New York,NY,110000.0
Administrative Assistant,Government (international diplomacy),2 - 4 years,Houston,TX,50200.0
Member Services Assistant,Arts & Entertainment,2 - 4 years,New York,NY,40000.0
Director,Nonprofit,11 - 20 years,Boston,MA,167000.0
Project Lead/Project Analyst,Defense contractor,8 - 10 years,Washington,DC,57000.0
Research Scientist,Healthcare,8 - 10 years,Boston,MA,98135.0
Product Manager,Educational Technology,8 - 10 years,Boston,MA,85000.0
Engineering Program Manager,Engineering,8 - 10 years,Baltimore,MD,114500.0
Production Coodinator,Media/TV,5 - 7 years,New York,NY,62000.0
Manuscript editor,Medical publishing,5 - 7 years,Chicago,IL,60000.0
Ecologist,Research,11 - 20 years,Portland,OR,92000.0
Technical Applications Scientist III,Biotech,11 - 20 years,San Diego,CA,95000.0
Scientific technician,Marine resource management,8 - 10 years,Seattle,WA,34000.0
PR Director,Marketing,11 - 20 years,New York,NY,105000.0
HR & Payroll Administrator,Transportation,11 - 20 years,Minneapolis,MN,60000.0
Actuarial Analyst,Insurance,5 - 7 years,Boston,MA,72000.0
Senior Technical Writer,Software,8 - 10 years,Austin,TX,118000.0
Management & Program Analyst,Government,11 - 20 years,Washington,DC,91740.0
"Consultant, Learning and Organizational Effectiveness",Healthcare,11 - 20 years,Atlanta,GA,80000.0
Senior Financial Analyst,Technology,5 - 7 years,San Diego,CA,105000.0
Assistant Director of Client Relations,Software,11 - 20 years,Chicago,IL,68640.0
Financial Analyst,Federal Government,11 - 20 years,Washington,DC,111000.0
Director of Performance,Health Care Administration,11 - 20 years,Phoenix,AZ,120000.0
Senior Associate Director,Higher Education Development,21 - 30 years,Philadelphia,PA,77000.0
Associate Professor,Academia,21 - 30 years,Chicago,IL,90000.0
SEO Strategist,Digital Marketing,5 - 7 years,New York,NY,58000.0
Real Estate Admin,Commercial Real Estate,11 - 20 years,Atlanta,GA,45000.0
Digital Archivist,"Libraries, Archives and Museums",5 - 7 years,New York,NY,60000.0
Marketing and communications writer,Higher Ed/Marketing,8 - 10 years,Philadelphia,PA,52000.0
Government Relations Coordinator,Non-profit environmental conservation,5 - 7 years,Chicago,IL,49000.0
Strategy & Planning - Senior Specialist,Insurance,8 - 10 years,New York,NY,105000.0
HIV Surveillance Specialist,Government/Public Health,2 - 4 years,Austin,TX,51982.0
Partner,Consulting,11 - 20 years,Chicago,IL,400000.0
Administrative Assistant,Public Education,11 - 20 years,New York,NY,55000.0
Hebrew school director,Religious nonprofit,11 - 20 years,Portland,ME,32000.0
Resource Coordinator,Healthcare Research,5 - 7 years,Philadelphia,PA,50000.0
Executive Coordinator,Public Relations,21 - 30 years,St. Louis,MO,58000.0
storage manager,IT,11 - 20 years,San Diego,CA,96000.0
Assistant to the President,Education,2 - 4 years,Chicago,IL,45000.0
Controls and Governance Manager,Banking,11 - 20 years,San Francisco,CA,160000.0
Student organizer,Nonprofit,2 - 4 years,Philadelphia,PA,38000.0
Account Executive,Marketing,5 - 7 years,Chicago,IL,52000.0
Senior Data Scientist,Tech,5 - 7 years,Chicago,IL,130000.0
Administrative Lead,Administrative,1 year or less,Chicago,IL,30000.0
Manager,Higher Education,2 - 4 years,Chicago,IL,50000.0
Foreign Affairs Officer,Governemtn,8 - 10 years,Washington,DC,105782.0
Associate Director,Refugee Resettlement,5 - 7 years,Washington,DC,70000.0
Epidemiologist,Public Health,5 - 7 years,Atlanta,GA,83000.0
Salesperson,Retail -- surgical supplies,11 - 20 years,New York,NY,55000.0
Third Party Risk Assessment Associate,Health Insurance,1 year or less,Philadelphia,PA,75000.0
Software Engineer,Technology,2 - 4 years,New York,NY,115000.0
"Director, Customer Experience",Retail,8 - 10 years,New York,NY,153000.0
Senior Manager of Compliance Program Management,"Tech, big data",11 - 20 years,Washington,DC,112800.0
Research Assistant,Scientific Research; Academic,2 - 4 years,Portland,OR,39000.0
Marketing Coordinator,Theater/Arts Nonprofit,2 - 4 years,Minneapolis,MN,38800.0
Program Coordinator,Higher Education,2 - 4 years,Boston,MA,56000.0
Coordinator,Philanthropy,8 - 10 years,Chicago,IL,68000.0
Assistant Property Manager,Commercial Property Management,5 - 7 years,Seattle,WA,54000.0
Application Coordinator Associate,Healthcare IT,8 - 10 years,Baltimore,MD,42500.0
Member Services Assistant,Nonprofit,5 - 7 years,Washington,DC,37000.0
Senior Systems Analyst,Higher Education (Private),11 - 20 years,Chicago,IL,97000.0
Senior Production Coordinator,Publishing,8 - 10 years,Boston,MA,55000.0
Senior Grants Manager,Research Administration,11 - 20 years,Boston,MA,102907.0
Optimization Lead,Business Process Improvement,11 - 20 years,Minneapolis,MN,109000.0
Finance Project Manager,Manufacturing,8 - 10 years,Houston,TX,116000.0
Professional Development & Training Coordinator,HR(Law firm professional development and training),5 - 7 years,Boston,MA,63000.0
Operations Associate,Philanthropy,2 - 4 years,Minneapolis,MN,45500.0
HR Generalist,Ad Tech,5 - 7 years,New York,NY,72500.0
Register Land Surveyor,Land Surveying,21 - 30 years,Atlanta,GA,86000.0
Client Care Coordinator,Veterinary medicine,11 - 20 years,Chicago,IL,24000.0
Senior Software Engineer,Digital solutions/web,11 - 20 years,Denver,CO,95000.0
Law firm associate,Law,5 - 7 years,Washington,DC,315000.0
CTO,Higher Education,11 - 20 years,Boston,MA,135000.0
Director,Localization,11 - 20 years,New York,NY,85000.0
Archivist,Libraries,8 - 10 years,New York,NY,47000.0
Staff Attorney,Government,8 - 10 years,Austin,TX,75500.0
Senior Associate,Legal,8 - 10 years,Washington,DC,340000.0
Analyst,Healthcare,5 - 7 years,Los Angeles,CA,115000.0
Customer Success Manager,Technology,2 - 4 years,New York,NY,110000.0
Director of Development,Nonprofit,11 - 20 years,Portland,ME,55000.0
Editor,"publishing, i guess",11 - 20 years,Washington,DC,74700.0
Director of Business Development,IT/SaaS,8 - 10 years,Boston,MA,55000.0
Mobile Developer,Software Engineering,8 - 10 years,Portland,OR,96000.0
Lead Designer,Gift,11 - 20 years,Los Angeles,CA,53000.0
Medical device sales,Sales,5 - 7 years,San Francisco,CA,200000.0
Associate Media Planner,Media/Advertising,1 year or less,New York,NY,35000.0
Gift Planning Officer,Nonprofit,8 - 10 years,Portland,OR,87000.0
Program Director,Education Non-profit,5 - 7 years,Washington,DC,55000.0
HR Manager,Real Estate Investment,8 - 10 years,Atlanta,GA,110000.0
Editor,Magazine publishing,2 - 4 years,Los Angeles,CA,50000.0
Executive Director of Enrollment & Operations,International Education (Gap Years),5 - 7 years,Portland,OR,52000.0
Professor,Higher Education,11 - 20 years,Washington,DC,60000.0
Director,Nonprofit,11 - 20 years,Chicago,IL,84364.0
Assistant Director and IT Coordinator,Public Libraries,2 - 4 years,St. Louis,MO,55000.0
Director,Trade Association/Insurance,11 - 20 years,Washington,DC,92700.0
Postdoctoral Associate,Science academic research,5 - 7 years,Minneapolis,MN,48500.0
Physician,Healthcare,5 - 7 years,St. Louis,MO,140000.0
Senior Consultant,IT Consulting,5 - 7 years,Washington,DC,110000.0
Academic Advisor,Higher Education,11 - 20 years,Minneapolis,MN,60000.0
Data governance and quality analyst,Technology,11 - 20 years,San Francisco,CA,112000.0
Technical Architect,Finance,21 - 30 years,Minneapolis,MN,140000.0
Software Engineer,Software/IT,11 - 20 years,Portland,OR,106000.0
Internal Communications Manager,Internal Communications,8 - 10 years,Atlanta,GA,85000.0
Corporate access coordinator,Finance,11 - 20 years,New York,NY,200000.0
Senior Associate Partner,Education Non-profit,11 - 20 years,Los Angeles,CA,160000.0
Software Engineer,Software,1 year or less,Austin,TX,112500.0
Instructor,Higher Education,11 - 20 years,Los Angeles,CA,55000.0
Senior Business Analyst - Product Owner,Research & Development,11 - 20 years,St. Louis,MO,85000.0
Bar Manager,Bar/Restaurant,11 - 20 years,Chicago,IL,55400.0
Director of Special Projects,Legal,2 - 4 years,Philadelphia,PA,210000.0
Software Engineer,Tech,21 - 30 years,Austin,TX,65000.0
Senior Accountant,Manufacturing,2 - 4 years,Chicago,IL,70000.0
Marketing Communications Analyst,Legal,2 - 4 years,New York,NY,76500.0
Associate Director Financial Aid,Higher Education,11 - 20 years,Dallas,TX,64000.0
Senior Scientist,Science (MRI research),8 - 10 years,New York,NY,73130.0
Senior Pharmacy Consultant - Finance,Consulting,8 - 10 years,Minneapolis,MN,110000.0
Program Coordinator,Higher Education,1 year or less,Washington,DC,36000.0
Assistant Director of Data Management and Prospect Research,Higher Education,5 - 7 years,Philadelphia,PA,53500.0
Stewardship Coordinator,Environmental Compliance - Government,5 - 7 years,Philadelphia,PA,50000.0
Staff Accountant,Accounting,1 year or less,Los Angeles,CA,50000.0
"Associate Director, Alumni Relations",Higher Education/ Private University,5 - 7 years,Chicago,IL,58500.0
Member Services Specialist,Banking,11 - 20 years,Boston,MA,72143.0
Writer/Editor/Graphic Designer,Consulting,11 - 20 years,Washington,DC,59000.0
Case Manager,Social Services,2 - 4 years,Boston,MA,34000.0
Administrative Assistant,Healthcare,8 - 10 years,Chicago,IL,45000.0
Project Planner,Communications Engineering,5 - 7 years,New York,NY,64000.0
Manager Advertising Sales Operations,Marketing,8 - 10 years,Washington,DC,87550.0
Senior Content Producer,Retail corporate marketing,11 - 20 years,Minneapolis,MN,93000.0
political compliance officer,Nonprofit,5 - 7 years,Washington,DC,69000.0
Senior Project Manager,Non profit- global health,8 - 10 years,Washington,DC,115000.0
Research Specialist,Life Science Research,8 - 10 years,Philadelphia,PA,32500.0
Children's Librarian,Library,8 - 10 years,Austin,TX,49500.0
Paralegal,Legal,8 - 10 years,New York,NY,55000.0
Librarian,Academia,2 - 4 years,Seattle,WA,52599.0
Internal Communications Manager,Internal Communications,8 - 10 years,Atlanta,GA,85000.0
Animal Husbandry Technician,Biotech,2 - 4 years,San Diego,CA,34000.0
Team Coordinator (Supervisor),Healthcare,5 - 7 years,Boston,MA,63500.0
Regulatory Manager,Clinical Research,8 - 10 years,Boston,MA,64000.0
"Coordinator, Sales Support",Hospitality,8 - 10 years,Dallas,TX,45038.0
"Senior Manager, Government Affairs",Health Trade Association,8 - 10 years,Washington,DC,85000.0
Financial Controller,Tech (startup),5 - 7 years,San Francisco,CA,135000.0
Biochemist,Healthcare,8 - 10 years,New York,NY,78000.0
Program Manager,Nonprofit,21 - 30 years,San Francisco,CA,80000.0
IT Project Manager,Insurance,21 - 30 years,Portland,OR,107000.0
Senior Communications specialist,Federal govt,21 - 30 years,Baltimore,MD,129000.0
Quality Engineer,Aerospace & Defense,8 - 10 years,Boston,MA,85500.0
Software Engineer,Internet,11 - 20 years,Portland,OR,118000.0
Tax Auditor,State Government,5 - 7 years,Minneapolis,MN,78000.0
Assistant General Counsel,Legal/Not-for-profit,5 - 7 years,Chicago,IL,73000.0
policy and program manager,public health/government administration,8 - 10 years,New York,NY,105000.0
Project Manager,Ecommerce,8 - 10 years,Boston,MA,71000.0
Analytics Consultant,Digital Marketing,2 - 4 years,Atlanta,GA,70000.0
Marketing Communications,Business Services-technology,31 - 40 years,Philadelphia,PA,74000.0
Administrative Coordinator,Nonprofit,5 - 7 years,Washington,DC,45000.0
Associate Editor,"Associations, Magazine Publishing",11 - 20 years,Washington,DC,53000.0
Staff Attorney,Legal,5 - 7 years,New York,NY,63775.0
Database Administrator,Executive Search,5 - 7 years,Boston,MA,65000.0
Gallery Associate,Fine Art,2 - 4 years,New York,NY,35000.0
Editorial Director,Communications/Publishing,8 - 10 years,Chicago,IL,70000.0
Business Analyst,Software,5 - 7 years,Portland,OR,63000.0
Manager,Utilities,8 - 10 years,New York,NY,160000.0
Associate Director of Admissions,Higher Education,11 - 20 years,Chicago,IL,66000.0
Research Librarian,Higher Education,8 - 10 years,New York,NY,67000.0
Chief of staff/program officer,Philanthropy,5 - 7 years,New York,NY,85000.0
Administrative Assistant,Government,11 - 20 years,Austin,TX,23030.0
Senior Communications Specialist,Healthcare,2 - 4 years,Baltimore,MD,65000.0
Attorney,Legal,8 - 10 years,San Diego,CA,85000.0
Senior Sales Engineer,Manufacturing,31 - 40 years,Chicago,IL,110000.0
"Associate Director, Regulatory Affairs",Pharmaceutical,11 - 20 years,Philadelphia,PA,140000.0
Licensing Coordinator,Film & Television/Theme Parks,8 - 10 years,Los Angeles,CA,47000.0
Senior Content Producer,Nonprofit,5 - 7 years,Washington,DC,65000.0
Communications Coordinator,Higher Education Administration,11 - 20 years,Chicago,IL,51000.0
Project Manager,Cultural Heritage/Education,5 - 7 years,Boston,MA,37515.0
music teacher,Music,5 - 7 years,Chicago,IL,21000.0
Learning area manager,Logistics,11 - 20 years,Atlanta,GA,75000.0
Clinical Research Associate,Medical Research,8 - 10 years,Boston,MA,98000.0
Finance and Special Projects Manager,Non-Profit Arts Admin,8 - 10 years,New York,NY,45000.0
Patent Agent,Patent Law,5 - 7 years,Boston,MA,108500.0
Senior Curriculum Coordinator,Graduate-level health care education,11 - 20 years,Boston,MA,78800.0
"Manager, Sales Services",Video Games,21 - 30 years,Los Angeles,CA,88000.0
Technology Analyst,Technology,1 year or less,Washington,DC,68000.0
Software Engineer,Technology,5 - 7 years,Boston,MA,120000.0
Administrative Coordinator,Higher Education,8 - 10 years,Los Angeles,CA,39000.0
Instructional Consultant,Higher Education,8 - 10 years,Washington,DC,72361.0
playwright/playwriting professor,the theater,31 - 40 years,New York,NY,40000.0
Software Engineer,Retail,8 - 10 years,Pittsburgh,PA,120000.0
Software Engineer,Security,2 - 4 years,Seattle,WA,103000.0
Research Specialist,Media,11 - 20 years,Chicago,IL,60000.0
Lead Support Architect,IT Services,31 - 40 years,Boston,MA,128000.0
Director of Development Operations,Nonprofit,8 - 10 years,Boston,MA,90000.0
Research Scientist,Manufacturing,8 - 10 years,Houston,TX,133650.0
HR Manager,Education,5 - 7 years,Denver,CO,55000.0
Senior Sales Manager,Travel & Hospitality,11 - 20 years,Los Angeles,CA,80000.0
Software Engineer,Utility,21 - 30 years,Dallas,TX,107515.0
Editor,Educational Publishing,11 - 20 years,Chicago,IL,42000.0
Content Marketing Editor,Marketing,8 - 10 years,Chicago,IL,57300.0
Consultant,Finance/Accounting,5 - 7 years,Austin,TX,95000.0
Executive Assistant,Tech,8 - 10 years,Seattle,WA,103500.0
Cataloger,Libraries,5 - 7 years,Washington,DC,55000.0
Donor Relations Manager,Nonprofit,2 - 4 years,Pittsburgh,PA,42000.0
Project Manager,Construction,5 - 7 years,Los Angeles,CA,66000.0
Librarian,Local Government/Public Library,11 - 20 years,San Diego,CA,65000.0
"Communications Manager, Media Relations",Nonprofit,8 - 10 years,Washington,DC,91500.0
Reporter,Journalism,2 - 4 years,New York,NY,58000.0
Associate Director,Education,2 - 4 years,Philadelphia,PA,65000.0
Strategic Review Analyst,Healthcare,11 - 20 years,St. Louis,MO,85000.0
Information Security Specialist,Higher Education,11 - 20 years,San Francisco,CA,160100.0
Rate Analyst,Utilities,8 - 10 years,Denver,CO,71000.0
Senior Business Analyst,Technology,11 - 20 years,New York,NY,125000.0
Administrative Assistant,Nonprofit,8 - 10 years,Portland,OR,37000.0
Human Resources Manager,Education,8 - 10 years,Boston,MA,67000.0
Staff Attorney,Civil legal services,5 - 7 years,New York,NY,70000.0
Coordinator,Music,11 - 20 years,New York,NY,51150.0
Digital Marketing Manager,Nonprofit,11 - 20 years,Chicago,IL,65000.0
Program Manager,Government,21 - 30 years,Atlanta,GA,80000.0
Senior Financial Analyst,Software,5 - 7 years,Austin,TX,90000.0
Business Analyst,Logistics,11 - 20 years,Atlanta,GA,81000.0
Senior Project Manager,Technology,21 - 30 years,Boston,MA,142000.0
Associate Attorney,Legal,1 year or less,Washington,DC,190000.0
BCBA Supervisor,Behavioral Health,11 - 20 years,Boston,MA,83000.0
"Associate, Senior Designer",Environmental Graphic Design,11 - 20 years,Los Angeles,CA,110000.0
Academic Affairs Coordinator,Education,11 - 20 years,Los Angeles,CA,61000.0
Director of Graduate and Postdoctoral Professional Development,Academia,8 - 10 years,Atlanta,GA,99700.0
Repository & Publishing Specialist,Academic Library,5 - 7 years,Atlanta,GA,40000.0
Senior Research Associate,Pharmaceutical,8 - 10 years,San Diego,CA,72000.0
Regulatory Compliance Specialist,Environmental Health and Safety,5 - 7 years,San Diego,CA,52000.0
Senior Project Manager,Health Insurance,21 - 30 years,Dallas,TX,73000.0
Reporter,Journalism,2 - 4 years,New York,NY,58000.0
Mainframe Operator,IT,5 - 7 years,Chicago,IL,54600.0
Graphic Designer,Nonprofit,2 - 4 years,Minneapolis,MN,44990.0
"Senior Director, Programs",Non-Profit/Education,11 - 20 years,New York,NY,82000.0
Senior UX Designer,Internet,8 - 10 years,New York,NY,115000.0
Director of Design Strategy,Higher Education,11 - 20 years,Atlanta,GA,64000.0
"Assistant Director, Operations",Education Management,11 - 20 years,San Diego,CA,61000.0
Analyst,Education,11 - 20 years,Houston,TX,54000.0
Director of Student Records,Education,11 - 20 years,New York,NY,79000.0
Office Manager,Manufacturing,11 - 20 years,Chicago,IL,63500.0
Articles Editor,Media,11 - 20 years,New York,NY,96000.0
